source,raw_field,clean_field,field_role,meaning,leakage_policy
stat_features,,prior_in_before_out_count_1h,模型特征,出账前短窗口内是否存在入账资金来源,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,prior_in_before_out_out_amount_ratio_1h,模型特征,出账前短窗口内是否存在入账资金来源,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,prior_in_before_out_mean_delay_min_1h,模型特征,出账前短窗口内是否存在入账资金来源,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,fast_in_out_count_6h,模型特征,入账后短时间转出的快进快出时序模体,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,fast_in_out_in_amount_ratio_6h,模型特征,入账后短时间转出的快进快出时序模体,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,fast_in_out_out_amount_ratio_6h,模型特征,入账后短时间转出的快进快出时序模体,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,fast_in_out_balance_ratio_6h,模型特征,入账后短时间转出的快进快出时序模体,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,fast_in_out_mean_delay_min_6h,模型特征,入账后短时间转出的快进快出时序模体,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,prior_in_before_out_count_6h,模型特征,出账前短窗口内是否存在入账资金来源,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,prior_in_before_out_out_amount_ratio_6h,模型特征,出账前短窗口内是否存在入账资金来源,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,prior_in_before_out_mean_delay_min_6h,模型特征,出账前短窗口内是否存在入账资金来源,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,fast_in_out_count_24h,模型特征,入账后短时间转出的快进快出时序模体,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,fast_in_out_in_amount_ratio_24h,模型特征,入账后短时间转出的快进快出时序模体,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,fast_in_out_out_amount_ratio_24h,模型特征,入账后短时间转出的快进快出时序模体,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,fast_in_out_balance_ratio_24h,模型特征,入账后短时间转出的快进快出时序模体,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,fast_in_out_mean_delay_min_24h,模型特征,入账后短时间转出的快进快出时序模体,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,prior_in_before_out_count_24h,模型特征,出账前短窗口内是否存在入账资金来源,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,prior_in_before_out_out_amount_ratio_24h,模型特征,出账前短窗口内是否存在入账资金来源,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,prior_in_before_out_mean_delay_min_24h,模型特征,出账前短窗口内是否存在入账资金来源,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,one_in_multi_out_count_24h,模型特征,一笔入账后拆分多笔出账的时序模体,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,one_in_multi_out_in_amount_ratio_24h,模型特征,一笔入账后拆分多笔出账的时序模体,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,multi_in_one_out_count_24h,模型特征,多笔入账后集中一笔出账的时序模体,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,multi_in_one_out_mean_amount_ratio_24h,模型特征,多笔入账后集中一笔出账的时序模体,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,max_prior_in_count_before_out_24h,模型特征,单笔出账前可追溯入账数量上限,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,max_next_out_count_after_in_24h,模型特征,单笔入账后可追溯出账数量上限,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,small_in_before_large_out_count_24h,模型特征,模型特征或中间字段,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,net_amount,模型特征,模型特征或中间字段,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,total_txn_count,模型特征,账户整体交易统计特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,total_amount_sum,模型特征,账户整体交易统计特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,in_out_amount_ratio,模型特征,收款方向交易统计特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,in_out_count_ratio,模型特征,收款方向交易统计特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,total_self_loop_count,模型特征,账户整体交易统计特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,total_non_positive_amount_count,模型特征,账户整体交易统计特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,customer_type_对公,模型特征,客户类型 one-hot 特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,customer_type_对私,模型特征,客户类型 one-hot 特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_out_degree,模型特征,资金图谱拓扑结构特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_in_degree,模型特征,资金图谱拓扑结构特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_total_degree,模型特征,资金图谱拓扑结构特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_reciprocal_neighbor_count,模型特征,资金图谱拓扑结构特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_reciprocal_ratio,模型特征,资金图谱拓扑结构特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_out_in_degree_ratio,模型特征,资金图谱拓扑结构特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_in_out_degree_ratio,模型特征,资金图谱拓扑结构特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_component_size,模型特征,资金图谱拓扑结构特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_component_edge_count,模型特征,资金图谱拓扑结构特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_component_density,模型特征,资金图谱拓扑结构特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_two_hop_neighbor_count,模型特征,资金图谱拓扑结构特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_out_two_hop_reach,模型特征,资金图谱拓扑结构特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_in_two_hop_reach,模型特征,资金图谱拓扑结构特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_path_through_proxy,模型特征,资金图谱拓扑结构特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_fan_in_out_balance,模型特征,资金图谱拓扑结构特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_cycle3_proxy_count,模型特征,资金图谱拓扑结构特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_neighbor_degree_mean,模型特征,资金图谱拓扑结构特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_neighbor_degree_max,模型特征,资金图谱拓扑结构特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_neighbor_degree_std,模型特征,资金图谱拓扑结构特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_low_degree_neighbor_ratio,模型特征,资金图谱拓扑结构特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_hub_neighbor_ratio,模型特征,资金图谱拓扑结构特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,pagerank,模型特征,PageRank 图重要性特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_nb_total_txn_count_mean,模型特征,一跳无向邻居行为聚合特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_nb_total_txn_count_max,模型特征,一跳无向邻居行为聚合特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_nb_total_amount_sum_mean,模型特征,一跳无向邻居行为聚合特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_nb_total_amount_sum_max,模型特征,一跳无向邻居行为聚合特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_nb_out_amount_sum_mean,模型特征,一跳无向邻居行为聚合特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_nb_out_amount_sum_max,模型特征,一跳无向邻居行为聚合特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_nb_in_amount_sum_mean,模型特征,一跳无向邻居行为聚合特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_nb_in_amount_sum_max,模型特征,一跳无向邻居行为聚合特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_nb_in_out_amount_ratio_mean,模型特征,一跳无向邻居行为聚合特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_nb_in_out_amount_ratio_max,模型特征,一跳无向邻居行为聚合特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_nb_burst_day_txn_ratio_mean,模型特征,一跳无向邻居行为聚合特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_nb_burst_day_txn_ratio_max,模型特征,一跳无向邻居行为聚合特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_nb_burst_day_amount_ratio_mean,模型特征,一跳无向邻居行为聚合特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_nb_burst_day_amount_ratio_max,模型特征,一跳无向邻居行为聚合特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_nb_counterparty_amount_top_ratio_mean,模型特征,一跳无向邻居行为聚合特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_nb_counterparty_amount_top_ratio_max,模型特征,一跳无向邻居行为聚合特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_nb_counterparty_txn_top_ratio_mean,模型特征,一跳无向邻居行为聚合特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_nb_counterparty_txn_top_ratio_max,模型特征,一跳无向邻居行为聚合特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_nb_fast_in_out_count_24h_mean,模型特征,一跳无向邻居行为聚合特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_nb_fast_in_out_count_24h_max,模型特征,一跳无向邻居行为聚合特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_nb_fast_in_out_balance_ratio_24h_mean,模型特征,一跳无向邻居行为聚合特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_nb_fast_in_out_balance_ratio_24h_max,模型特征,一跳无向邻居行为聚合特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_nb_multi_in_one_out_count_24h_mean,模型特征,一跳无向邻居行为聚合特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_nb_multi_in_one_out_count_24h_max,模型特征,一跳无向邻居行为聚合特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_nb_max_prior_in_count_before_out_24h_mean,模型特征,一跳无向邻居行为聚合特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_nb_max_prior_in_count_before_out_24h_max,模型特征,一跳无向邻居行为聚合特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_nb_max_next_out_count_after_in_24h_mean,模型特征,一跳无向邻居行为聚合特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_nb_max_next_out_count_after_in_24h_max,模型特征,一跳无向邻居行为聚合特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_nb_total_self_loop_count_mean,模型特征,一跳无向邻居行为聚合特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_nb_total_self_loop_count_max,模型特征,一跳无向邻居行为聚合特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_nb_total_non_positive_amount_count_mean,模型特征,一跳无向邻居行为聚合特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_nb_total_non_positive_amount_count_max,模型特征,一跳无向邻居行为聚合特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_out_nb_total_txn_count_mean,模型特征,出边邻居行为聚合特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_out_nb_total_amount_sum_mean,模型特征,出边邻居行为聚合特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_out_nb_out_amount_sum_mean,模型特征,出边邻居行为聚合特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_out_nb_in_amount_sum_mean,模型特征,出边邻居行为聚合特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_out_nb_in_out_amount_ratio_mean,模型特征,出边邻居行为聚合特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_out_nb_burst_day_txn_ratio_mean,模型特征,出边邻居行为聚合特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_out_nb_burst_day_amount_ratio_mean,模型特征,出边邻居行为聚合特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_out_nb_counterparty_amount_top_ratio_mean,模型特征,出边邻居行为聚合特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_out_nb_counterparty_txn_top_ratio_mean,模型特征,出边邻居行为聚合特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_out_nb_fast_in_out_count_24h_mean,模型特征,出边邻居行为聚合特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_out_nb_fast_in_out_balance_ratio_24h_mean,模型特征,出边邻居行为聚合特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_out_nb_multi_in_one_out_count_24h_mean,模型特征,出边邻居行为聚合特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_out_nb_max_prior_in_count_before_out_24h_mean,模型特征,出边邻居行为聚合特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_out_nb_max_next_out_count_after_in_24h_mean,模型特征,出边邻居行为聚合特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_out_nb_total_self_loop_count_mean,模型特征,出边邻居行为聚合特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_out_nb_total_non_positive_amount_count_mean,模型特征,出边邻居行为聚合特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_in_nb_total_txn_count_mean,模型特征,入边邻居行为聚合特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_in_nb_total_amount_sum_mean,模型特征,入边邻居行为聚合特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
graph_features,,graph_in_nb_out_amount_sum_mean,模型特征,入边邻居行为聚合特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
